,한글 인식,영단어,comment
,아이앤디,I&D,지정
,엑스레이,X ray,지정
,나이타이,NiTi,지정
,파노라마,panorama,
,파노,pano,
,모델,model,
,파넥스,Panex,"기계 이름, 첫글자 대문자"
,세팔로,cephalo,
,라테랄,latetal,
,핸드리스트,hand wrist,
,페리오피칼,periapical,
,스탠다드 뷰,standard view,
,바이트,bite,
,필름,film,
,임플란트,implant,
,케이스,case,
,지루코니아,zirconia,
,포토,photo,
,내비게이션,navigation,
,버라이어티,variety,
,로케이터,locator,
,어테치먼트,attachment,
,오버 댄처,overdenture,
,오버덴처,overdenture,
,덴처,denture,
,팩터,factor,
,서포티드,supported,
,프로세시스,prosthesis,"단수, prostheses 복수 / 나중에 음성 듣기"
,리테인,retained,Implant retained Prostheses
,멀티플 바,multiple bar,
,댄처,denture,
,바 타입,bar type,
,솔리터리 타입,solitary type,
,레질리언트 타입,resilient type,
,리지드,rigid,
,타입,type,
,볼 어테치먼트,ball attachment,
,클립,clip,
,스테빌리티,stability,
,스트레스,stress,
,바 어테치먼트,bar attachment,
,랭스,length,
,아치,arch,
,로컬라이제이션,localization,
,별증,bulging,
,매니 직,manage,
,플레인,plain,plain X ray
,닥터,doctor,
,코키지,Kokich,사람 이름
,징지벡토미,gingivectomy,
,AP curly,apically,
,미쿠징지발정션,mucogingival junction,
,코로나,coronal,
,디펙트,defect,
,트랙션,traction,
,브래킷,bracket,
,체인,chain,
,와이어,wire,
,버튼,button,
,vicril,vicryl,"바이크릴, 학습많이필요한단어"
,Curate,Curette,"큐렛, 학습많이필요한단어"
,에칭,etching,
,에어,air,
,시린지,syringe,
,메시,mesh,
,마진,margin,
,Pullable,flowable,
,포지셔닝,positioning,
,가이드,guide,
,일래스틱,elastic,
,포스트 호피 케어,post op care,
,클로렉 시팅 가글,chlorhexidine gargle,
,스티치 아웃,stich out,
,럭셰이션,luxation,
,징지벡톰,gingivectomy,
,오프닝,opening,
,본딩,bonding,
,신스틱 파인딩,cystic finding,
,신스틱 유 클 레이션,cyst enucleation,
,클러스트 플랩,closed flap,
,레벨링,leveling,
,11시 티상,CBCT상,
,팔로 어업,flow up,
,팔로 부,flow up,
,시스트,cyst,
,메디케이션,medication,
,컨설트,consult,
,시스트 월,cyst wall,
,실라스틱 드레인,silastic drain,
,드레인,drain,
,업라이트,upright,
,12시티,CBCT,
,시스트 인유클리에이션,cyst enucleation,
,스페인 싱,spacing,
,텔쇼두,tell show do,
,핸드피스,handpiece,
,비디오테이프,video tape,
,오스템,Osstem,
,게이트 글리 듦 버,gate glidden bur,
,K 파일,k file,
,H 파일,h file,
,핸드 파일,hand file,
,크로 날 플레의 링,coronal flaring,
,글라이드 패스,gilde path,
,클리닝,cleaning,
,쉐이핑,shaping,
,오리 파이스,orifice,
,이라지 먼트,enlargement,
,톰이,tomy,
,테이퍼,taper,
,엔도,endo,
,레지,ledge,
,이리저리,irrigation,
,패스,path,
,프로 테이퍼 골드,protaper gold,
,밸런스,balance,
,펄스,force,
,테크닉,technique,
,스텝 백,step back,
,크라운 다운,crown down,
,파일링,filing,
,오스템 임플란트,Osstem Implant,
,티브이,TV,
,세미나,seminar,
,큐레이,Qray,
,프로필,profile,
,에이카 랩스,Eica Labs,
,채널,channel,
,라이브,live,
,콘텐츠,contents,
,인트로덕션,introduction,
,버스,bus,
,라미네이트,laminate,
,인레이,inlay,
,워딩,wording,
,시덱스,SIDEX,
,빌드업,build up,
,히스토리,history,
,테크노마트,techno mart,
,커뮤니티,community,
,콘셉트,concept,
,진료센터,진료 center,
,센터,center,
,프린,printer,
,로봇,robot,
,컴퓨터가이드,computer guide,
,디지털,digital,
,믹스,mix,
,구강 스캐너,구강 scanner,
,이미지,image,
,스캔,scan,
,알고리즘,algorithm,
,데이터,data,
,디자인,design,
,프린팅,printing,
,시뮬레이션,simulation,
,밀링,milling,
,프로그램,program,
,크라운,crown,
,지르코니아,zirconia,
,세라믹,ceramic,
,햅틱,haptic,
,로봇 암,robot arm,
,피드백,feedback,
,스케일링,scaling,
,브릿지,bridge,
,네비게이션 임플란트,navigation implant,
,3DCT,3D CT,
,블로그,blog,
,유튜브,youtube,
,인터넷,internet,
,스마일,smile,
,립 리포지셔닝,lip repositioning,
,래미네이트,laminate,
,라인,line,
,블랙 트라이앵글,black triangle,
,초콜릿,chocolate,
,멜라닌,melanin,
,비스타,VISTA,
,보톡스,botox,
,화이트 에스테틱 스코어,white esthetic score,
,핑크 에스테틱 스코어,pink esthetic score,
,스케일러,scaler,
,바이오필름,biofilm,
,플러그,plaque,
,덴탈 플렉,dental plaque,
,칼슘,calcium,
,워터픽,waterpik,
